Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude,Source,Geo Source,Possible Dup Of,Provenance
Alamosa Farmers' Market,Farmers' Market,Corner of 6th and Ross,Alamosa,Alamosa,CO,81101,(719) 849-1083,No,https://www.alamosafarmersmarket.org/,alamosafarmersmarket@gmail.com,https://www.facebook.com/alamosafarmersmarket,alamosa_farmers_market,Sat: 8 am - 1:30 pm,"July, August, September, October","Apples, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Cauliflower, Carrots, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Kale, Lettuce, Mushrooms, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Buffalo, Jerky, Lamb, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Handcrafted Gifts",No,Yes,No,"The Alamosa Farmers' Market is the San Luis Valley's largest and oldest market.  A Downtown community event on Saturdays from July through October we offer local foods, hand crafted goods, live music, activities for kids, and community engagement opportunities.  An affordable market with Valley flavor.",37.46711599500003,-105.87013198299996,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Aspen Saturday Market,Farmers' Market,E. Hopkins & S. Hunter Streets,Aspen,Pitkin,CO,81611,(970) 429-2687,,http://www.aspenchamber.org,info@aspenchamber.org,,,,,,,,,,39.189339982899526,-106.81714002360457,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""Email"":""usda"",""County"":""census-geocoder""}"
Alameda Mile High Farmer's Market,Farmers' Market,13655 E Alameda Ave,Aurora,Arapahoe,CO,80012,(720) 249-7697,,https://ezregister.com/events/10206/,milehighmarkets@gmail.com,,,,,,,,,,39.711182948431194,-104.84283878066104,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Aurora South Farmers Market II,Farmers' Market,15324 E Hampden Cir,Aurora,Arapahoe,CO,80013,(303) 361-6169,,,,,,,,,,,,,39.65097603435367,-104.80936747150693,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Painted Prairie Open Air Markets (Presented by Grateful Garden llc),Farmers' Market,High Prairie Park E 59th Pl & N Orleans St,Aurora,Denver,CO,80019,(720) 619-0619,No,https://gratefulgardenllc.com,katrina@gratefulgardenllc.com,https://www.facebook.com/gratefulgardenllc,https://www.instagram.com/gratefulgarden/,Sat: 9 am - 1pm and October fest is 10 am - 3 pm,"June, July, August, September, October","Cherries, Chile Peppers, Peaches, Herbs, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Spinach, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, Baked Goods, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices",No,Yes,Yes,"A seasonal outdoor market and community gathering at High Prairie Park featuring local vendors, themed events, and family-friendly programming.",39.80299080700007,-104.73660430199999,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Southlands Farmers' Market,Farmers' Market,6155 S. Main St.,Aurora,Arapahoe,CO,80016,(303) 693-3662,,http://www.coloradofarmersmarkets.com/southlands/,williamsfamilymarkets@gmail.com,https://www.facebook.com/pages/Southlands-Farmers-Market/285277572341,,,,,,,,,39.60511174029859,-104.70887980439706,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Hoffmann Commercial Real Estate Farmers' Market...,Farmers' Market,182 Avon Rd.,Avon,Eagle,CO,81620,(970) 479-1711,,http://edwardsfarmersmarket.com/,edwards@rockymountainmarkets.com,,,,,,,,,,39.63310199306957,-106.52112800000288,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Basalt Sunday Market,Farmers' Market,101 Midland Avenue,Basalt,Eagle,CO,81621,(720) 327-2837,,https://www.basaltsundaymarket.com,manager@basaltsundaymarket.com,,,,,,,,,Open: June to September; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Crafts/woodworking items;Cut flowers;Dairy products.;Eggs;Fish/seafood;Fresh/dried herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Prepared foods;Red/other non-poultry meat and products;Soap/body care products;,39.368957,-107.03473,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Notes"":""usda"",""County"":""census-geocoder""}"
Bennett Community Market,Farmers' Market,401 S. 1st St.,Bennett,Adams,CO,80102,(303) 502-6946,,,lzbalpacas@aol.com,https://www.facebook.com/Bennett-Community-Market-1592527727628410/,,,,,,,,,39.758281209421185,-104.43323208396914,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Bennett Summer Pop-up Market,Farmers' Market,200 W Marketplace Dr,"Bennett,",Adams,CO,80102,(505) 490-5141,Yes,,admin@agfoodlab.org,,@agfoodlab,Sat: 9 am - 12 pm,"July, August, September","Apples, Beets, Bell Peppers, Broccoli, Cabbage, Carrots, Chile Peppers, Cucumbers, Green Beans, Herbs, Kale, Lettuce, Microgreens, Okra, Onions, Peaches, Pears, Pinto Beans, Potatoes, Pumpkins, Radishes, Spinach, Squash, Sweet Corn, Tomatoes, Zucchini, Beef, Lamb, Pork, Jams, Jellies, Pickles, Baked Goods, Eggs",No,Yes,Yes,"This small pop-up market aims to increase local access to produce grown in Colorado, in particular for farmers and food producers along the I-70 corridor! You'll find us in the parking lot behind the Muegge House.",39.74168062000007,-104.43662430399996,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Email"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
