Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude
Aspen Moon Farm,CSA Farm,7940 Hygiene Rd,Longmont,Boulder,CO,80503,,No,https://www.aspenmoonfarm.com/,info@aspenmoonfarm.com,https://www.facebook.com/AspenMoonFarm/,https://www.instagram.com/aspenmoonfarm/,Tue: 10 am - 6 pm (check website spring/fall); Wed: 10 am - 6 pm (check website spring/fall); Thu: 10 am - 6 pm (check website spring/fall); Fri: 10 am - 5 pm (check website spring/fall),"April, May, June, July, August, September, October, November, December","Apples, Beets, Bell Peppers, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cherries, Apricots, Chile Peppers, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Kale, Leeks, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Honey, Baked Goods, Pasta, Coffee, Nut butters",Yes,No,Yes,"Enjoy USDA Certified Organic Vegetables, Herbs, Flowers, & Starter Plants from Aspen Moon Farm, grown with Biodynamic Practices right here in Longmont, CO!",40.188041999999996,-105.1677765
Bee Squared Apiaries,Agritourism,1617 White Water Ct,Berthoud,Larimer,CO,80513,(970) 744-1821,Yes,https://www.vethsbees.com,jamie@bethsbees.com,Bee Squared Apiaries,@beesquaredapiaries,Mon: 9 a.m. - 4 p.m.; Tue: 9 a.m. - 4 p.m; Wed: 9 a.m. - 4 p.m; Thu: 9 a.m. - 4 p.m; Fri: 9 a.m. - 4 p.m,"January, February, March, April, May, June, July, August, September, October, November, December",,No,No,No,"In our production facility we show how honey is extracted, offer honey tasting and tours of the production facility. We also sell direct to consumer on site.",40.27964699427374,-105.1028558241396
Berg Harvest LLC dba Berg Harvest Mercantile,Restaurant,73 Samuel Wade Road,Paonia,Delta,CO,81428,(970) 527-6372,No,bergharvest.com,bergharvestllc@gmail.com,facebook.com/BergHarvest,berg.harvest,Tue: 11:00am - 7:00pm; Wed: 11:00am - 7:00pm; Thu: 11:00am - 7:00pm; Fri: 11:00am - 8:00pm; Sat: 11:00am - 8:00pm,"May, June, July, August, September, October",,No,No,Yes,"We are a family owned organic orchard, along with providing great burgers, pizza, beer, wine and cocktails at the Mercantile.  Swing by for seasonal organic produce and a great meal experience!",38.868363000000016,-107.6015475
Blaine's Farm Store,U-Pick,3419 Front St.,Clifton,Mesa,CO,81520,(970) 628-1237,No,https://blainesfarmstore.com,sales@blainesfarmstore.com,,,Mon: 9 am - 6 pm; Tue: 9 am - 6 pm; Wed: 9 am - 6 pm; Thu: 9 am - 6 pm; Fri: 9 am - 6 pm; Sat: 9 am - 6 pm; Sun: 9 am - 6 pm,"January, February, March, April, May, June, July, August, September, October, November, December","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Cantaloupe, Carrots, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Lettuce, Leeks, Microgreens, Mushrooms, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Buffalo, Jerky, Pork, Sausage, Elk, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices, Handcrafted Gifts",No,Yes,No,"Blaine's Farm Store is located on a working farm. We grow a wide variety of fruits, vegetables, and flowers. We offer seasonal U-Pick berries and flowers. Blaine's is more than a farm stove, it is an experience.",39.094820999999996,-108.418464
"BlueTrane Group, LLC  DBA BlueTrane Heritage Farm",CSA Farm,16530 County Road 102,Elbert,Elbert,CO,80106,(303) 552-6538,Yes,www.bluetranegroup.com,info@bluetranegroup.com,https://www.facebook.com/BlueTraneHeritageFarm/,@BlueTraneHeritageFarm,,"January, February, March, April, May, June, July, August, September, October, November, December","Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Chile Peppers, Cucumbers, Garlic, Green Beans, Herbs, Kale, Lettuce, Microgreens, Onions, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Zucchini, Asian Greens, Swiss Chard, Melons, Rutabagas, Parsnips, Eggs, Baked Goods, Jams, duck eggs, chicken eggs",No,No,Yes,"We specialize in the preservation and promotion of the endangered heritage breeds and heirloom varieties. Our produce is pesticide, fungicide and herbicide free. All are naturally grown in a sustaining way consistent with organic principles.",39.219885000000005,-104.355576
Castle Rock Farmers Market,Farmers' Market,500 Fairgrounds Drive,Castle Rock,Douglas,CO,80104,(719) 401-1495,,https://originalcastlerockfarmersmarket.com/,originalcrfm@gmail.com,https://www.facebook.com/castlerockfarmersmarket,,Sat: 8:00am to 12:30pm,"June, July, August, September, October",,No,No,Yes,The Castle Rock Farmers Market has provided Douglas County residents with a local market where they can purchase fresh produce and artisan made food and goods for over 30 years.,39.36276000000001,-104.85126
City of Loveland Parks & Rec,Farmers' Market,700 S. Railroad Rd.,Loveland,Larimer,CO,80537,(970) 962-2446,No,www.lovgov.org/farmersmarket,colprspecialevents@gmail.com,https://www.facebook.com/CityofLovelandFarmersMarket,https://www.instagram.com/lovelandcofarmersmarket/,Sun: 9:00A - 1:00P,"June, July, August, September",,No,Yes,Yes,"The Loveland Farmers Market provides local produce, meat, dairy, treats, pantry foods and artisan goods Sundays June-September from 9A-1P. Additional special event days throughout the season and artist markets the last Sunday of each month.",40.39044306286477,-105.07733316029606
Country Road Vines and Wines,Winery,16985 County Road 21,Fort Morgan,Morgan,CO,80701,(970) 768-1450,No,countryroadwines.com,countryroadwines@outlook.com,countryroadvinesandwines,,Fri: 4:00 p.m. - 8:00 p.m.; Sat: 1:00 p.m. - 8:00 p.m.,"December, November, October, September, August, July, June, May, April, March, February, January",,No,No,Yes,"A boutique winery located on the great plains in Northeast Colorado.  All wines are produced and bottled at the winery.  Wine flights, glasses and bottles of wine are available to enjoy in the tasting room or on the patio.  Take a moment to experience paradise on the plains!",40.24661991886165,-103.75445186074768
Creek Side Gardens,Garden Center / Greenhouse,5730 West Coal Mine Avenue,Littleton,Jefferson,CO,80123,(303) 933-8493,No,www.PlantsByCreekSide.com,will@plantsbycreekside.com,,,,"February, March, April, May, June, July, August, September, October, November, December","annual flowers in pots & baskets, perennial plants, shrubs & trees, bedding plants, vegetable plants, Christmas Trees",No,No,Yes,"family owned & operated retail garden center, greenhouse & nursery",39.59501399999999,-105.059952
Crested Butte Farmers Market,Farmers' Market,100 Elk Ave.,Crested Butte,Gunnison,CO,81224,,No,www.cbfarmersmarket.org,info@cbfarmersmarket.org,Crested Butte Farmers Market,cbfarmersmarket,Sun: 9am - 2pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Onions, Peaches, Pears, Peas, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Squash, Strawberries, Spinach, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Pork, Poultry, Pickles, Jellies, Jams, Honey, Eggs, Cheese, Baked Goods, Cider, Juices, Wine, Handcrafted Gifts",No,Yes,Yes,"The CB Farmers Market is dedicated to promoting sustainable agriculture.  We offer organic and naturally grown vegetables, fruits, herbs, pasture-raised and grass-finished meats, artisanal cheese, wine, hard ciders & juices, breads, jams, pickles, cut flowers and a local arts and crafts.",38.869700704303106,-106.98901490948651
Davis Family Livestock,Roadside Market,4480 County Road 38,Platteville,Weld,CO,80651,(720) 938-5888,Yes,www.davisfamilylivestock.com,anne@davisfamilylivestock.com,Davis Family Livestock,,Mon: 10:00 AM - 5:00 PM; Tue: 10:00 AM - 5:00 PM; Wed: 10:00 AM - 5:00 PM; Thu: 10:00 AM - 5:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM,"March, April, May, June, July, August, September",,No,No,No,"Davis Family Livestock offers educational tours to view three breeds of sheep including the rare Valais Blacknose, voted the ""World's Cutest Sheep"", alpacas, llama, horses and chickens.  Visitors also learn about wool, wool processing and visit the gift store for fiber products and homemade jams and jellies.",40.259034000000014,-104.9670315
