state,type,name,addr,city,phone,web,days,offer
Colorado,farm,Cure Organic Farm,7416 Valmont Rd,Boulder,(303) 442-7696,cureorganicfarm.com,Farm stand Sat 8am–1pm (May–Nov),Certified organic · CSA · farm store · Boulder County since 1999
Colorado,market,Boulder Certified Farmers Market,13th St & Canyon Blvd,Boulder,(303) 910-2236,bcfm.org,Wed 4–8pm · Sat 8am–2pm (Apr–Nov),Colorado's top organic market · 150+ farmers · Pearl St adjacent · live music
Colorado,market,Denver Farmers Market Cherry Creek,1st Ave & University Blvd,Denver,(303) 442-1837,denverfarmersmarket.com,Sat 7am–1pm · Wed 7am–1pm (May–Oct),Denver's largest market · organic produce · 200+ vendors · Cherry Creek
Colorado,market,Fort Collins Farmers Market,Oak St & College Ave,Fort Collins,,fcfm.org,Sat 8am–12pm (May–Oct),Northern Colorado · organic produce · 100+ vendors · Old Town Fort Collins
Colorado,upick,Ela Family Farms,28560 Hwy 65,Eckert,(970) 527-3480,elafamilyfarms.com,Farm stand and u-pick seasonal,Certified organic since 1992 · apples · pears · cherries · u-pick · Western Slope CO
Colorado,market,Colorado Farm and Art Market,7350 Pine Creek Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Basalt Sunday Market,101 Midland Avenue,Basalt,,,,USDA certified farmers market
Colorado,market,Alamosa Farmers Market,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,,,,USDA certified farmers market
Colorado,market,City of Loveland Farmers Market,700 S. Railroad,Loveland,,,,USDA certified farmers market
Colorado,market,Minturn Market,Historic Downtown Minturn,Minturn,,,,USDA certified farmers market
Colorado,market,Greeley Farmers Market,902 7th Ave.,Greeley,,,,USDA certified farmers market
Colorado,market,Larimer County Farmers' Market,200 W. Oak St.,Fort Collins,,,,USDA certified farmers market
Colorado,market,Southwest Plaza Farmers Market,Wadsworth and Bowles,Littleton,,,,USDA certified farmers market
Colorado,market,Highlands Ranch Farmers Market,Highlands Ranch Pkwy and Dorchester Rd,Highlands Ranch,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest,12530 Black Forest Rd,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest - Winter,6845 Shoup Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest - Holiday,13710 Black Forest Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Nederland Farmers Market,80 E. Second St.,Nederland,,,,USDA certified farmers market
Colorado,market,Durango Farmers Market,259 W 9th Street,Durango,,,,"The Durango Farmers Market is a growers market, meaning all vendors who attend the market grew or ra"
Colorado,market,Aspen Farmers' Market,E. Hopkins Ave. and S. Galena St.,Aspen,,,,USDA certified farmers market
Colorado,market,Landmark Greenwood Village Fresh Market,7600 Landmark Way,Greenwood Village,,,,USDA certified farmers market
Colorado,market,Alameda Mile High Farmer's Market,,13655 E Alameda Ave Aurora,,,,USDA certified farmers market
Colorado,market,Arvada Farmers Market,"Arvada Farmers Market, 57th & Old Wadsworth",Arvada,,,,USDA certified farmers market
Colorado,market,Arvada Five Parks Farmers Market,,13810 W. 85th Dr. Arvada CO 80005 Arvada,,,,USDA certified farmers market
Colorado,market,Aspen Grove Lifestyle Center Farmers' Market,7301 S. Santa Fe.,Littleton,,,,USDA certified farmers market
Colorado,market,Aspen Saturday Market,,E. Hopkins & S. Hunter Streets Aspen,,,,USDA certified farmers market
Colorado,market,Aurora South Farmers Market II,,15324 East Hampden Circle Aurora,,,,USDA certified farmers market
Colorado,market,Bennett Community Market,401 S. 1st St.,Bennett,,,,USDA certified farmers market
Colorado,market,Berthoud Farmers' Market,"1201 Lake Ave.,Behind Adams Bank and Trust",Berthoud,,,,USDA certified farmers market
Colorado,market,Black Forest Farmers Market,,10915 Black Forest Road Black Forest,,,,USDA certified farmers market
Colorado,market,Boulder County Farmers' Market,,13th & Canyon Boulder,,,,USDA certified farmers market
Colorado,market,Boulter's 5280 Urban Market,,560 Castle Pines Pkwy Englewood pkwy and Cherokee St. Is our second market Castle Pines,,,,USDA certified farmers market
Colorado,market,Briargate Farmers' Market,,7610 N. Union Colorado Springs,,,,USDA certified farmers market
Colorado,market,Broadway Farmers' Market,,23 Lincoln St. Denver,,,,USDA certified farmers market
Colorado,market,Broomfield Farmers' Market,1700 W. 10th Ave.,Broomfield,,,,USDA certified farmers market
Colorado,market,Buena Vista Farmers' Market,,South Main Town Square 701 Front Loop Buena Vista,,,,USDA certified farmers market
Colorado,market,Carbondale Farmers' Market,"4th & Main St.,4th Street Park and Plaza",Carbondale,,,,USDA certified farmers market
Colorado,market,Castle Rock Farmers Market,,414 Wilcox St Castle Rock,,,,USDA certified farmers market
