PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Boulder,Aspen Moon Farm,7940 Hygiene Rd,,Longmont,CO,80503,,No,info@aspenmoonfarm.com,https://www.aspenmoonfarm.com/,https://www.facebook.com/AspenMoonFarm/,https://www.instagram.com/aspenmoonfarm/,,April|May|June|July|August|September|October|November|December,2|3|4|5,,10 am - 6 pm (check website spring/fall),10 am - 6 pm (check website spring/fall),10 am - 6 pm (check website spring/fall),10 am - 5 pm (check website spring/fall),,,Greenhouse|CSA Farm|On-Farm/Ranch sales|Roadside Market|Sell to Schools,,,Yes,No,Yes,CCOF,Apples|Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Cauliflower|Celery|Cherries|Apricots|Chile Peppers|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Kale|Leeks|Lettuce|Mushrooms|Nectarines|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,,,,,Honey|Baked Goods,,"Pasta, Coffee, Nut butters","Enjoy USDA Certified Organic Vegetables, Herbs, Flowers, & Starter Plants from Aspen Moon Farm, grown with Biodynamic Practices right here in Longmont, CO!",,,40.188041999999996,-105.1677765
,Larimer,Bee Squared Apiaries,1617 White Water Ct,,Berthoud,CO,80513,(970) 744-1821,Yes,jamie@bethsbees.com,https://www.vethsbees.com,Bee Squared Apiaries,@beesquaredapiaries,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5,9 a.m. - 4 p.m.,9 a.m. - 4 p.m,9 a.m. - 4 p.m,9 a.m. - 4 p.m,9 a.m. - 4 p.m,,,On-Farm/Ranch sales|Agritourism,Tours,Honey tasting,No,No,No,,,,,,,,,,,,,"In our production facility we show how honey is extracted, offer honey tasting and tours of the production facility. We also sell direct to consumer on site.",,,40.27964699427374,-105.1028558241396
,Delta,Berg Harvest LLC dba Berg Harvest Mercantile,73 Samuel Wade Road,,Paonia,CO,81428,(970) 527-6372,No,bergharvestllc@gmail.com,bergharvest.com,facebook.com/BergHarvest,berg.harvest,,May|June|July|August|September|October,2|3|4|5|6,,11:00am - 7:00pm,11:00am - 7:00pm,11:00am - 7:00pm,11:00am - 8:00pm,11:00am - 8:00pm,,On-Farm/Ranch sales|Restaurant,,,No,No,Yes,CDA,,,,,,,,,,,,"We are a family owned organic orchard, along with providing great burgers, pizza, beer, wine and cocktails at the Mercantile.  Swing by for seasonal organic produce and a great meal experience!",,,38.868363000000016,-107.6015475
,Mesa,Blaine's Farm Store,3419 Front St.,,Clifton,CO,81520,(970) 628-1237,No,sales@blainesfarmstore.com,https://blainesfarmstore.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,Roadside Market|U-pick,Tours,,No,Yes,No,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cantaloupe|Carrots|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Lettuce|Leeks|Microgreens|Mushrooms|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Jerky|Pork|Sausage,Elk,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices|Handcrafted Gifts,,"Blaine's Farm Store is located on a working farm. We grow a wide variety of fruits, vegetables, and flowers. We offer seasonal U-Pick berries and flowers. Blaine's is more than a farm stove, it is an experience.",,9 am - 6 pm,39.094820999999996,-108.418464
,Elbert,"BlueTrane Group, LLC  DBA BlueTrane Heritage Farm",16530 County Road 102,,Elbert,CO,80106,(303) 552-6538,Yes,info@bluetranegroup.com,www.bluetranegroup.com,https://www.facebook.com/BlueTraneHeritageFarm/,@BlueTraneHeritageFarm,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,CSA Farm,,Online Web Store,No,No,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Chile Peppers|Cucumbers,Garlic|Green Beans|Herbs|Kale|Lettuce|Microgreens|Onions,Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Zucchini,"Asian Greens, Swiss Chard, Melons, Rutabagas, Parsnips",,,,,Eggs|Baked Goods|Jams,,"duck eggs, chicken eggs","We specialize in the preservation and promotion of the endangered heritage breeds and heirloom varieties. Our produce is pesticide, fungicide and herbicide free. All are naturally grown in a sustaining way consistent with organic principles.",,10 a.m. - 4 p.m.,39.219885000000005,-104.355576
,Douglas,Castle Rock Farmers Market,500 Fairgrounds Drive,,Castle Rock,CO,80104,(719) 401-1495,,originalcrfm@gmail.com,https://originalcastlerockfarmersmarket.com/,https://www.facebook.com/castlerockfarmersmarket,,,June|July|August|September|October,6,,,,,,8:00am to 12:30pm,,Farmers' Market,,,No,No,Yes,,,,,,,,,,,,,The Castle Rock Farmers Market has provided Douglas County residents with a local market where they can purchase fresh produce and artisan made food and goods for over 30 years.,,,39.36276000000001,-104.85126
,Larimer,City of Loveland Parks & Rec,700 S. Railroad Rd.,,Loveland,CO,80537,(970) 962-2446,No,colprspecialevents@gmail.com,www.lovgov.org/farmersmarket,https://www.facebook.com/CityofLovelandFarmersMarket,https://www.instagram.com/lovelandcofarmersmarket/,,June|July|August|September,7,,,,,,,9:00A - 1:00P,Farmers' Market,,,No,Yes,Yes,,,,,,,,,,,,,"The Loveland Farmers Market provides local produce, meat, dairy, treats, pantry foods and artisan goods Sundays June-September from 9A-1P. Additional special event days throughout the season and artist markets the last Sunday of each month.",,,40.39044306286477,-105.07733316029606
,Morgan,Country Road Vines and Wines,16985 County Road 21,,Fort Morgan,CO,80701,(970) 768-1450,No,countryroadwines@outlook.com,countryroadwines.com,countryroadvinesandwines,,,December|November|October|September|August|July|June|May|April|March|February|January,6|5,,,,,4:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,,Agritourism|Winery,Tours|Event Facilities,,No,No,Yes,,,,,,,,,,,,,"A boutique winery located on the great plains in Northeast Colorado.  All wines are produced and bottled at the winery.  Wine flights, glasses and bottles of wine are available to enjoy in the tasting room or on the patio.  Take a moment to experience paradise on the plains!",,,40.24661991886165,-103.75445186074768
,Jefferson,Creek Side Gardens,5730 West Coal Mine Avenue,,Littleton,CO,80123,(303) 933-8493,No,will@plantsbycreekside.com,www.PlantsByCreekSide.com,,,,February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Garden Center|Greenhouse,Pumpkin Patch|Christmas Trees,,No,No,Yes,,,,,"annual flowers in pots & baskets, perennial plants, shrubs & trees, bedding plants, vegetable plants",,,,,,Christmas Trees,,"family owned & operated retail garden center, greenhouse & nursery",,,39.59501399999999,-105.059952
,Gunnison,Crested Butte Farmers Market,100 Elk Ave.,,Crested Butte,CO,81224,,No,info@cbfarmersmarket.org,www.cbfarmersmarket.org,Crested Butte Farmers Market,cbfarmersmarket,Top of Elk! 100 and zero blocks of Elk Ave.,May|June|July|August|September|October,7,,,,,,,9am - 2pm,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Squash|Strawberries|Spinach|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Pork|Poultry,,,,Pickles|Jellies|Jams|Honey|Eggs|Cheese|Baked Goods,Cider|Juices|Wine |Handcrafted Gifts,,"The CB Farmers Market is dedicated to promoting sustainable agriculture.  We offer organic and naturally grown vegetables, fruits, herbs, pasture-raised and grass-finished meats, artisanal cheese, wine, hard ciders & juices, breads, jams, pickles, cut flowers and a local arts and crafts.",,,38.869700704303106,-106.98901490948651
